GSRN,Capacity_kw,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled
570714700000006258,150.0000,22.5116,32.5214,1.4447,0.2374,-0.0029,11.8560,-0.6533,-0.7369,-0.0021,0.2267,-0.6806
570714700000006289,75.0000,4.2221,8.9165,2.1118,0.3281,0.0003,3.2899,-0.7157,-0.8271,0.2313,0.3063,-0.7689
570714700000006296,180.0000,14.8401,31.3367,2.1116,0.6051,-0.0000,9.5133,-0.6795,-0.7415,0.2312,0.2984,-0.7048
570714700000006333,180.0000,26.1739,32.3229,1.2349,0.2359,-0.0033,10.4911,-0.6408,-0.7377,-0.0755,0.2153,-0.6947
570714700000006876,45.0000,0.0151,0.0280,1.8486,0.6988,0.0000,0.0180,-0.7300,-0.8610,0.1392,0.2984,-0.8027
570714700000006890,55.0000,8.8958,15.2459,1.7138,0.4924,-0.0004,5.5686,-0.6998,-0.8029,0.0921,0.2895,-0.7455
570714700000006982,75.0000,5.5098,11.3477,2.0596,0.2311,-0.0025,4.3247,-0.7113,-0.8178,0.2130,0.2373,-0.7583
570714700000007194,65.0000,3.9506,7.2864,1.8444,0.2836,-0.0003,2.9927,-0.7166,-0.8333,0.1377,0.2900,-0.7720
570714700000007637,95.0000,17.5659,28.1973,1.6052,0.5540,-0.0020,7.6040,-0.6702,-0.7535,0.0541,0.2480,-0.7245
570714700000007651,150.0000,26.7104,31.6983,1.1867,0.0947,-0.0038,9.6202,-0.6390,-0.7401,-0.0924,0.2046,-0.7037
570714700000007682,99.0000,7.2152,17.7386,2.4585,0.7377,0.0032,5.9326,-0.7055,-0.7934,0.3526,0.3780,-0.7417
570714700000007828,200.0000,23.8534,37.7862,1.5841,0.3340,0.0085,11.5945,-0.6487,-0.7168,0.0467,0.5106,-0.6833
570714700000007927,150.0000,0.0375,1.9698,52.5180,0.9995,-0.0000,1.5736,-0.7300,-0.8536,17.8669,0.2984,-0.7866
570714700000007934,150.0000,34.3657,40.4440,1.1769,0.1925,-0.0033,12.0178,-0.6129,-0.7067,-0.0958,0.2154,-0.6790
570714700000008016,150.0000,31.1782,36.7123,1.1775,0.1291,-0.0001,10.9323,-0.6238,-0.7209,-0.0956,0.2958,-0.6902
570714700000008092,180.0000,20.2611,32.4534,1.6018,0.3359,-0.0035,10.1908,-0.6610,-0.7372,0.0528,0.2102,-0.6978
570714700000008146,150.0000,38.7630,42.0951,1.0860,0.0640,-0.0087,13.4629,-0.5979,-0.7004,-0.1276,0.0827,-0.6641
570714700000008252,200.0000,8.7175,19.9089,2.2838,0.3549,-0.0054,8.0511,-0.7004,-0.7851,0.2915,0.1637,-0.7199
570714700000008450,200.0000,23.5090,38.3343,1.6306,0.4452,0.0026,11.9777,-0.6499,-0.7147,0.0629,0.3634,-0.6794
570714700000008474,200.0000,32.5927,42.8881,1.3159,0.2210,-0.0027,13.1331,-0.6189,-0.6974,-0.0472,0.2304,-0.6675
570714700000008627,150.0000,12.6143,22.5804,1.7901,0.2002,0.0009,9.2656,-0.6871,-0.7749,0.1187,0.3218,-0.7073
570714700000008702,225.0000,66.0532,66.1369,1.0013,0.0912,0.0023,19.4335,-0.5048,-0.6086,-0.1573,0.3545,-0.6026
570714700000008757,250.0000,35.2317,50.5246,1.4341,0.2376,-0.0066,15.1639,-0.6099,-0.6682,-0.0058,0.1345,-0.6466
570714700000008764,150.0000,17.6984,32.9739,1.8631,0.2213,-0.0086,11.8922,-0.6697,-0.7352,0.1443,0.0855,-0.6803
570714700000008955,150.0000,34.8173,42.1922,1.2118,0.2667,-0.0024,11.9107,-0.6113,-0.7000,-0.0836,0.2391,-0.6801
570714700000008962,200.0000,21.4929,37.8074,1.7591,0.4214,-0.0048,10.9414,-0.6568,-0.7168,0.1079,0.1791,-0.6901
570714700000009037,225.0000,54.4879,63.2806,1.1614,0.1593,-0.0038,16.3065,-0.5443,-0.6195,-0.1012,0.2045,-0.6348
570714700000009273,150.0000,9.8867,23.1892,2.3455,0.6352,0.0054,6.5504,-0.6964,-0.7726,0.3130,0.4325,-0.7353
570714700000009280,150.0000,19.6612,30.2561,1.5389,0.3307,-0.0042,8.7194,-0.6630,-0.7456,0.0308,0.1951,-0.7130
570714700000009419,300.0000,71.2387,73.9435,1.0380,0.1052,-0.0102,27.6254,-0.4871,-0.5788,-0.1444,0.0449,-0.5181
